Player,Position,Market_pick,VORP,Draft_score,Board_observations,Model_rank,VORP_rank,Base_live_score
Aaron Rodgers,QB,176.0,-3.420,15.890,0,191.040,179.520,-0.49314
Tyler Allgeier,RB,177.0,-4.120,15.520,0,184.080,180.540,-0.58790
Jason Myers,K,178.0,0.336,20.352,0,210.120,181.560,0.00480
Dylan Sampson,RB,179.0,-4.240,14.540,0,186.160,182.580,-0.60676
Cameron Dicker,K,180.0,0.320,19.840,0,212.200,183.600,-0.00019
Alvin Kamara,RB,181.0,-4.360,13.560,0,188.240,184.620,-0.62562
Sean Tucker,RB,182.0,-4.420,13.070,0,189.280,185.640,-0.63505
Jacoby Brissett,QB,183.0,-3.735,12.933,0,198.320,186.660,-0.54514
Adonai Mitchell,WR,184.0,-3.920,14.880,0,191.360,187.680,-0.57124
Kaytron Allen,RB,185.0,-4.500,12.050,0,192.400,188.700,-0.65000
Terrance Ferguson,TE,186.0,-4.500,9.830,0,198.440,189.720,-0.65143
Jonah Coleman,RB,187.0,-4.500,11.610,0,194.480,190.740,-0.65286
Cooper Kupp,WR,188.0,-4.140,13.010,0,195.520,191.760,-0.60629
Gunnar Helm,TE,189.0,-4.500,9.170,0,201.560,192.780,-0.65571
Travis Hunter,WR,190.0,-4.250,12.075,0,197.600,193.800,-0.62381
Antonio Williams,WR,191.0,-4.305,11.607,0,198.640,194.820,-0.63257
De'Zhaun Stribling,WR,192.0,-4.360,11.140,0,199.680,195.840,-0.64133
Tre Harris,WR,193.0,-4.415,10.672,0,200.720,196.860,-0.65010
Greg Dulcich,TE,194.0,-4.500,8.070,0,206.760,197.880,-0.66286
Jordan James,RB,195.0,-4.500,9.850,0,202.800,198.900,-0.66429
Emanuel Wilson,RB,196.0,-4.500,9.630,0,203.840,199.920,-0.66571
Samaje Perine,RB,197.0,-4.500,9.410,0,204.880,200.940,-0.66714
Braelon Allen,RB,198.0,-4.500,9.190,0,205.920,201.960,-0.66857
Ray Davis,RB,200.0,-4.500,8.750,0,208.000,204.000,-0.67143
Cade Otton,TE,201.0,-4.500,6.530,0,214.040,205.020,-0.67286
DJ Giddens,RB,204.0,-4.500,7.870,0,212.160,208.080,-0.67714
Tank Dell,WR,205.0,-4.500,7.650,0,213.200,209.100,-0.67857
Zach Charbonnet,RB,206.0,-4.500,7.430,0,214.240,210.120,-0.68000
Pat Bryant,WR,207.0,-4.500,7.210,0,215.280,211.140,-0.68143
Kayshon Boutte,WR,208.0,-4.500,6.990,0,216.320,212.160,-0.68286
Jaylin Noel,WR,209.0,-4.500,6.770,0,217.360,213.180,-0.68429
Jaydon Blue,RB,210.0,-4.500,6.550,0,218.400,214.200,-0.68571
MarShawn Lloyd,RB,211.0,-4.500,6.330,0,219.440,215.220,-0.68714
Mike Washington Jr.,RB,212.0,-4.500,6.110,0,220.480,216.240,-0.68857
Zachariah Branch,WR,214.0,-4.500,5.670,0,222.560,218.280,-0.69143
Keenan Allen,WR,216.0,-4.500,5.230,0,224.640,220.320,-0.69429
Troy Franklin,WR,217.0,-4.500,5.010,0,225.680,221.340,-0.69571
Justice Hill,RB,218.0,-4.500,4.790,0,226.720,222.360,-0.69714
Devaughn Vele,WR,219.0,-4.500,4.570,0,227.760,223.380,-0.69857
Dontayvion Wicks,WR,220.0,-4.500,4.350,0,228.800,224.400,-0.70000
Malik Washington,WR,221.0,-4.500,4.130,0,229.840,225.420,-0.70143
Christian Kirk,WR,222.0,-4.500,3.910,0,230.880,226.440,-0.70286
Mike Gesicki,TE,223.0,-4.500,1.690,0,236.920,227.460,-0.70429
AJ Barner,TE,224.0,-4.500,1.470,0,237.960,228.480,-0.70571
Tua Tagovailoa,QB,225.0,-4.500,0.250,0,242.000,229.500,-0.70714
Rashod Bateman,WR,226.0,-4.500,3.030,0,235.040,230.520,-0.70857
Malachi Fields,WR,227.0,-4.500,2.810,0,236.080,231.540,-0.71000
Emmett Johnson,RB,228.0,-4.500,2.590,0,237.120,232.560,-0.71143
Jalen Tolbert,WR,229.0,-4.500,2.370,0,238.160,233.580,-0.71286
Kendrick Bourne,WR,230.0,-4.500,2.150,0,239.200,234.600,-0.71429
Nicholas Singleton,RB,231.0,-4.500,1.930,0,240.240,235.620,-0.71571
Andrei Iosivas,WR,232.0,-4.500,1.710,0,241.280,236.640,-0.71714
Mack Hollins,WR,233.0,-4.500,1.490,0,242.320,237.660,-0.71857
Najee Harris,RB,234.0,-4.500,1.270,0,243.360,238.680,-0.72000
Colby Parkinson,TE,235.0,-4.500,-0.950,0,249.400,239.700,-0.72143
Darnell Mooney,WR,236.0,-4.500,0.830,0,245.440,240.720,-0.72286
Geno Smith,QB,237.0,-4.500,-2.390,0,254.480,241.740,-0.72429
David Njoku,TE,238.0,-4.500,-1.610,0,252.520,242.760,-0.72571
Chimere Dike,WR,239.0,-4.500,0.170,0,248.560,243.780,-0.72714
Jack Bech,WR,240.0,-4.500,-0.050,0,249.600,244.800,-0.72857
Marvin Mims Jr.,WR,241.0,-4.500,-0.270,0,250.640,245.820,-0.73000
Ted Hurst,WR,242.0,-4.500,-0.490,0,251.680,246.840,-0.73143
Demond Claiborne,RB,243.0,-4.500,-0.710,0,252.720,247.860,-0.73286
Tyreek Hill,WR,244.0,-4.500,-0.930,0,253.760,248.880,-0.73429
Chris Bell,WR,245.0,-4.500,-1.150,0,254.800,249.900,-0.73571
Kalif Raymond,WR,246.0,-4.500,-1.370,0,255.840,250.920,-0.73714
Darnell Washington,TE,247.0,-4.500,-3.590,0,261.880,251.940,-0.73857
Kaelon Black,RB,248.0,-4.500,-1.810,0,257.920,252.960,-0.74000
Deshaun Watson,QB,249.0,-4.500,-5.030,0,266.960,253.980,-0.74143
Tory Horton,WR,250.0,-4.500,-2.250,0,260.000,255.000,-0.74286
Eddy Pineiro,K,251.0,-0.248,1.664,0,286.040,256.020,-0.17735
Evan Engram,TE,252.0,-4.500,-4.690,0,267.080,257.040,-0.74571
Ty Johnson,RB,253.0,-4.500,-2.910,0,263.120,258.060,-0.74714
Chris Brooks,RB,254.0,-4.500,-3.130,0,264.160,259.080,-0.74857
Michael Mayer,TE,255.0,-4.500,-5.350,0,270.200,260.100,-0.75000
Darius Slayton,WR,256.0,-4.500,-3.570,0,266.240,261.120,-0.75143
Jahan Dotson,WR,257.0,-4.500,-3.790,0,267.280,262.140,-0.75286
Joshua Palmer,WR,258.0,-4.500,-4.010,0,268.320,263.160,-0.75429
Marquise Brown,WR,259.0,-4.500,-4.230,0,269.360,264.180,-0.75571
Tyler Loop,K,260.0,-0.320,-0.640,0,295.400,265.200,-0.19981
Dawson Knox,TE,261.0,-4.500,-6.670,0,276.440,266.220,-0.75857
Kimani Vidal,RB,262.0,-4.500,-4.890,0,272.480,267.240,-0.76000
Caleb Douglas,WR,263.0,-4.500,-5.110,0,273.520,268.260,-0.76143
Chris Boswell,K,264.0,-0.352,-1.664,0,299.560,269.280,-0.20979
KaVontae Turpin,WR,265.0,-4.500,-5.550,0,275.600,270.300,-0.76429
Will Reichard,K,266.0,-0.368,-2.176,0,301.640,271.320,-0.21478
Elic Ayomanor,WR,267.0,-4.500,-5.990,0,277.680,272.340,-0.76714
Elijah Arroyo,TE,268.0,-4.500,-8.210,0,283.720,273.360,-0.76857
Skyler Bell,WR,269.0,-4.500,-6.430,0,279.760,274.380,-0.77000
Tez Johnson,WR,270.0,-4.500,-6.650,0,280.800,275.400,-0.77143
Jake Bates,K,271.0,-0.408,-3.456,0,306.840,276.420,-0.22726
Keon Coleman,WR,272.0,-4.500,-7.090,0,282.880,277.440,-0.77429
Xavier Legette,WR,273.0,-4.500,-7.310,0,283.920,278.460,-0.77571
Jaylen Wright,RB,274.0,-4.500,-7.530,0,284.960,279.480,-0.77714
Noah Gray,TE,275.0,-4.500,-9.750,0,291.000,280.500,-0.77857
Brashard Smith,RB,276.0,-4.500,-7.970,0,287.040,281.520,-0.78000
Cole Kmet,TE,278.0,-4.500,-10.410,0,294.120,283.560,-0.78286
Kirk Cousins,QB,281.0,-4.500,-12.070,0,300.240,286.620,-0.78714
Tyquan Thornton,WR,282.0,-4.500,-9.290,0,293.280,287.640,-0.78857
James Conner,RB,283.0,-4.500,-9.510,0,294.320,288.660,-0.79000
Treylon Burks,WR,284.0,-4.500,-9.730,0,295.360,289.680,-0.79143
Tyler Higbee,TE,285.0,-4.500,-11.950,0,301.400,290.700,-0.79286
Isaiah Davis,RB,286.0,-4.500,-10.170,0,297.440,291.720,-0.79429
Brandon Aiyuk,WR,288.0,-4.500,-10.610,0,299.520,293.760,-0.79714
Shedeur Sanders,QB,289.0,-4.500,-13.830,0,308.560,294.780,-0.79857
Harrison Butker,K,291.0,-0.568,-8.576,0,327.640,296.820,-0.27716
Harrison Mevis,K,294.0,-0.592,-9.344,0,330.760,299.880,-0.28465
Trevor Etienne,RB,295.0,-4.500,-12.150,0,306.800,300.900,-0.80714
Chase McLaughlin,K,296.0,-0.608,-9.856,0,332.840,301.920,-0.28964
Eli Stowers,TE,298.0,-4.500,-14.810,0,314.920,303.960,-0.81143
Ollie Gordon II,RB,299.0,-4.500,-13.030,0,310.960,304.980,-0.81286
Elijah Sarratt,WR,300.0,-4.500,-13.250,0,312.000,306.000,-0.81429
